,ecologie,economie,education,immigration,sante,securite_defense,date
4227,0,0,0,0,1,0,2022-01-19 12:04:00+00:00
4226,0,1,0,0,0,0,2022-01-19 12:06:37+00:00
4225,0,0,1,0,0,0,2022-01-19 12:30:07+00:00
4224,0,0,0,0,0,1,2022-01-19 13:01:08+00:00
4223,1,0,0,0,0,0,2022-01-19 13:19:06+00:00
4222,0,0,0,0,0,1,2022-01-19 13:24:41+00:00
4221,1,0,0,0,0,0,2022-01-19 13:29:41+00:00
4220,0,0,1,0,0,0,2022-01-19 16:43:34+00:00
4219,0,1,0,0,0,0,2022-01-19 18:11:30+00:00
4218,0,0,1,0,0,0,2022-01-19 19:32:28+00:00
4217,0,1,0,0,0,0,2022-01-19 19:51:22+00:00
4216,0,1,0,0,0,0,2022-01-19 19:58:44+00:00
4215,1,0,0,0,0,0,2022-01-19 21:37:20+00:00
4214,0,1,0,0,0,0,2022-01-19 21:44:20+00:00
4213,0,0,1,0,0,0,2022-01-19 22:04:45+00:00
4212,1,0,0,0,0,0,2022-01-19 23:32:05+00:00
4211,1,0,0,0,0,0,2022-01-20 00:35:46+00:00
4210,0,0,0,0,0,1,2022-01-20 07:00:12+00:00
4209,0,1,0,0,0,0,2022-01-20 07:07:47+00:00
4208,0,0,0,0,1,0,2022-01-20 07:16:55+00:00
4207,0,0,0,1,0,0,2022-01-20 08:04:20+00:00
4206,0,1,0,0,0,0,2022-01-20 09:28:19+00:00
4205,0,1,0,0,0,0,2022-01-20 11:23:20+00:00
4204,0,0,0,0,0,1,2022-01-20 11:57:17+00:00
4203,0,1,0,0,0,0,2022-01-20 23:28:42+00:00
4202,0,0,1,0,0,0,2022-01-20 23:35:48+00:00
4201,0,0,1,0,0,0,2022-01-21 05:16:56+00:00
4200,0,0,1,0,0,0,2022-01-21 06:33:37+00:00
4199,0,1,0,0,0,0,2022-01-21 07:10:49+00:00
4198,0,0,1,0,0,0,2022-01-21 08:25:08+00:00
4197,0,0,1,0,0,0,2022-01-21 10:03:33+00:00
4196,1,0,0,0,0,0,2022-01-21 11:19:25+00:00
4195,0,0,0,0,0,1,2022-01-21 11:48:20+00:00
4194,0,0,0,0,0,1,2022-01-21 12:17:23+00:00
4193,0,0,0,1,0,0,2022-01-21 12:55:26+00:00
4192,0,0,0,0,0,1,2022-01-21 13:18:13+00:00
4191,0,0,0,0,0,1,2022-01-21 13:43:21+00:00
4190,0,0,0,0,0,1,2022-01-21 17:05:19+00:00
4189,0,0,0,0,0,1,2022-01-21 17:27:46+00:00
4188,0,0,0,0,0,1,2022-01-21 17:29:45+00:00
4187,0,0,0,0,0,1,2022-01-21 18:32:55+00:00
4186,0,0,1,0,0,0,2022-01-21 19:10:09+00:00
4185,0,0,0,0,0,1,2022-01-21 19:24:39+00:00
4184,0,0,1,0,0,0,2022-01-22 05:43:33+00:00
4183,1,0,0,0,0,0,2022-01-22 06:42:50+00:00
